schedule_week,team_home,team_away,predicted_margin
1,LAR,BUF,0.19186573555585854
1,WAS,JAX,-3.746986707497008
1,NYJ,BAL,8.094356685150528
1,CIN,PIT,-7.948754014038598
1,TEN,NYG,-5.391573354745173
1,LAC,LVR,-4.3258540872717495
1,MIA,NE,-2.644015580100691
1,DAL,TB,-0.05723395765635697
1,HOU,IND,9.623819909680286
1,CAR,CLE,-0.6845567248121806
1,ARI,KC,8.836217834155075
1,CHI,SF,6.16005371953626
1,DET,PHI,8.684538413864985
1,MIN,GB,1.0395660964315319
1,ATL,NO,6.5129677875172005
1,SEA,DEN,7.292573966921172
2,KC,LAC,-5.706110877941501
2,PIT,NE,2.5198254527259083
2,LVR,ARI,-3.4017837754227642
2,CLE,NYJ,-3.6150287932572867
2,JAX,IND,3.988492858754583
2,DAL,CIN,6.589342362015809
2,BAL,MIA,-5.5734795162227835
2,LAR,ATL,-10.228629449657188
2,NYG,CAR,0.36707005145212185
2,DET,WAS,-1.0573916754276207
2,GB,CHI,-10.168661812833983
2,NO,TB,2.238196708381627
2,SF,SEA,-9.07929543286966
2,DEN,HOU,-10.629859243989616
2,PHI,MIN,-1.1940735714129176
2,BUF,TEN,-8.422243543186264
3,CLE,PIT,-2.809223080846522
3,MIA,BUF,5.2469400234442185
3,NE,BAL,0.3362597722677054
3,NYJ,CIN,7.8992590801285845
3,TEN,LVR,0.9574446753851015
3,IND,KC,7.621391652866708
3,LAC,JAX,-3.300361389079621
3,DEN,SF,0.7454593853583608
3,SEA,ATL,-1.0547927205320649
3,ARI,LAR,2.9779364985264922
3,TB,GB,-0.9131669385298032
3,CHI,HOU,-1.1743971420657129
3,MIN,DET,-5.563588909871524
3,WAS,PHI,9.186881748911384
3,CAR,NO,3.8074732009823933
3,NYG,DAL,2.528537446984937
4,CIN,MIA,-2.2365732281507564
4,PHI,JAX,-6.423572334537855
4,BAL,BUF,1.9060198191014435
4,PIT,NYJ,-0.26885661240501935
4,IND,TEN,-3.075389818839733
4,LVR,DEN,-0.39165445646902847
4,HOU,LAC,8.49816196668261
4,DAL,WAS,-2.445578979243965
4,GB,NE,-9.422550257333883
4,DET,SEA,-1.7997267319911945
4,NYG,CHI,-1.64956959004625
4,TB,KC,-0.45444978503432604
4,CAR,ARI,0.5458555329903607
4,NO,MIN,2.2273961285927117
4,ATL,CLE,2.468798077059384
4,SF,LAR,-1.6378882149581333
5,DEN,IND,-0.9734787354261986
5,BUF,PIT,-14.04283469807505
5,NYJ,MIA,3.4750903613231903
5,BAL,CIN,-3.449877783264133
5,CLE,LAC,1.0678896035528584
5,JAX,HOU,-7.445145687364959
5,NE,DET,-1.1399261772848044
5,WAS,TEN,1.3795436465358983
5,MIN,CHI,-8.45519504921109
5,GB,NYG,-7.917610583795565
5,TB,ATL,-11.373189359636024
5,CAR,SF,5.520212730783423
5,NO,SEA,-3.6076155276462516
5,LAR,DAL,-4.5299667810599376
5,ARI,PHI,5.9228521296859915
5,KC,LVR,-7.719915802888473
6,CHI,WAS,2.0127041737343525
6,KC,BUF,1.0639096442441622
6,MIA,MIN,1.9470216490542
6,PIT,TB,7.060027922678944
6,CLE,NE,0.7940439000536186
6,IND,JAX,-0.43766165928704887
6,PHI,DAL,-3.166772216910348
6,LAR,CAR,-9.958608112255066
6,SEA,ARI,0.5432074907745924
6,ATL,SF,4.265811929824436
6,NYG,BAL,5.848821006667173
6,GB,NYJ,-8.084386478436704
6,NO,CIN,3.061695857484852
6,LAC,DEN,-3.159873418909474
7,ARI,NO,-0.5171644613880587
7,BAL,CLE,-5.790420174822391
7,JAX,NYG,-1.5057556418850953
7,TEN,IND,-0.8976173505222494
7,CIN,ATL,-6.310295541741656
7,LAC,SEA,-3.334853277098555
7,CAR,TB,8.380059539308766
7,DAL,DET,-4.542172314531794
7,WAS,GB,4.776041683456755
7,SF,KC,2.973817592900024
7,LVR,HOU,-6.699256542851714
7,DEN,NYJ,2.0224765675707332
7,MIA,PIT,-7.537969346126204
7,NE,CHI,-8.258855771512719
8,TB,BAL,-2.6831807435121235
8,HOU,TEN,3.4498523984088685
8,IND,WAS,-2.198917224287223
8,JAX,DEN,0.07686311195312316
8,DAL,CHI,-10.359471159266342
8,BUF,GB,-10.82032467773393
8,PHI,PIT,-11.723497339902467
8,NYJ,NE,2.9371584345367583
8,DET,MIA,5.178487534092553
8,NO,LVR,1.7202627589349238
8,ATL,CAR,-4.117479678642712
8,SEA,NYG,-1.6511500364468341
8,LAR,SF,-2.2190736398208855
8,MIN,ARI,-3.9843523016538005
8,CLE,CIN,3.5371538785832874
9,HOU,PHI,12.656660867529085
9,JAX,LVR,1.6758256811716148
9,NE,IND,-5.989994346382891
9,NYJ,BUF,10.225698253062909
9,KC,TEN,-12.936267161397526
9,CHI,MIA,3.8900134732319196
9,CIN,CAR,-8.388869821595163
9,ATL,LAC,1.0605133809100185
9,TB,LAR,-3.6981693272973257
9,DET,GB,6.61752595381309
9,ARI,SEA,0.418184493529377
9,WAS,MIN,3.4154266616106264
9,NO,BAL,1.795091726112186
10,CAR,ATL,3.714970918619881
10,KC,JAX,-9.310464025118145
10,BUF,MIN,-6.020504713734934
10,MIA,CLE,-1.5915590046808805
10,PIT,NO,1.7018266986362602
10,TEN,DEN,-1.6042934380941583
10,LVR,IND,-3.859546503207754
10,GB,DAL,3.5745898342937905
10,CHI,DET,0.1314633861731392
10,TB,SEA,-3.6055574474706638
10,LAR,ARI,-4.428270704717577
10,NYG,HOU,-3.8552777496530517
10,SF,LAC,-8.597798045434525
10,PHI,WAS,-9.736258548262953
11,GB,TEN,-1.0178104962627619
11,HOU,WAS,2.946956450944061
11,BUF,CLE,-7.661665819061118
11,NE,NYJ,-3.285577563032603
11,BAL,CAR,-14.418475165547534
11,IND,PHI,8.090122305918372
11,LAC,KC,5.380872874526737
11,ATL,CHI,1.486309045157112
11,DEN,LVR,-0.44362248820196676
11,NYG,DET,-0.32277404724310355
11,MIN,DAL,0.5232863740052225
11,NO,LAR,-1.1475384371383595
11,PIT,CIN,3.3649713527770655
11,ARI,SF,8.723224450855959
12,MIN,NE,-1.3690824048302759
12,DET,BUF,8.410677392705399
12,DAL,NYG,-10.225661819841385
12,JAX,BAL,4.1903187207769514
12,KC,LAR,-16.062866733651397
12,MIA,HOU,-15.873127778168493
12,NYJ,CHI,-3.6221717800002704
12,CLE,TB,2.3057184122366152
12,TEN,CIN,2.433677577985633
12,SEA,LVR,-2.6105132697864453
12,WAS,ATL,-1.387783610400853
12,CAR,DEN,2.917132044700042
12,SF,NO,-10.102167206279509
12,ARI,LAC,2.2301349067490093
12,PHI,GB,-4.057243513029534
12,IND,PIT,-1.1813126045587865
13,NE,BUF,2.7414850745829447
13,LVR,LAC,-0.852123252793751
13,CIN,KC,1.3048303719176133
13,HOU,CLE,8.054972522800531
13,PHI,TEN,-2.0412361381936948
13,DAL,IND,-11.90093197369381
13,NYG,WAS,1.6217317836259026
13,BAL,DEN,-10.576692342742342
13,DET,JAX,-0.5130339403215497
13,CHI,GB,5.2844087108757725
13,ATL,PIT,0.6214364103422434
13,SF,MIA,-3.432301584789039
13,LAR,SEA,9.374454156215595
13,MIN,NYJ,-3.4658268051526147
13,TB,NO,-3.0508790212622947
14,LAR,LVR,7.3666694629435545
14,BUF,NYJ,-9.021779956280227
14,TEN,JAX,-5.329519009087112
14,SEA,CAR,-4.086545510438316
14,LAC,MIA,2.7598090605404697
14,DET,MIN,-0.8592028188129642
14,DAL,HOU,-16.66614920457716
14,NYG,PHI,8.856687121945617
14,SF,TB,-4.617882351100544
14,PIT,BAL,1.0080899823123883
14,DEN,KC,8.239211427218256
14,CIN,CLE,-5.54889835360418
14,ARI,NE,2.5033499499556418
15,SEA,SF,0.5424622537935234
15,MIN,IND,-4.39259620381682
15,CLE,BAL,1.0112142603330205
15,BUF,MIA,-9.353358162187655
15,DEN,ARI,-1.0563523958960788
15,NYJ,DET,0.40569974727791586
15,JAX,DAL,5.145299167710863
15,HOU,KC,12.196395023800443
15,LVR,NE,-0.5732529818365383
15,LAC,TEN,-3.6977096695419527
15,CHI,PHI,10.057081379912033
15,TB,CIN,0.9541459588500932
15,CAR,PIT,0.2552974851028112
15,NO,ATL,-1.4400651080323037
15,WAS,NYG,-3.197631718844184
15,GB,LAR,-6.676015421049491
16,NYJ,JAX,-0.8033027864243221
16,PIT,LVR,-0.3626553951484463
16,KC,SEA,-9.976493197503226
16,NE,CIN,1.25588722085831
16,BAL,ATL,-4.186730163193032
16,CLE,NO,-1.1678671241071306
16,CHI,BUF,8.769312744333035
16,DAL,PHI,-3.1942829961149015
16,MIN,NYG,-4.740579373139411
16,TEN,HOU,-5.778765640456464
16,CAR,DET,2.3476156303443365
16,SF,WAS,-5.865694404940673
16,LAR,DEN,3.471962567254158
16,ARI,TB,8.489197663340585
16,MIA,GB,-0.6705307614734534
16,IND,LAC,4.241393369541288
17,TEN,DAL,10.455835432620608
17,PHI,NO,-4.9351061835169325
17,KC,DEN,-13.427409961771588
17,NE,MIA,-1.565234560051796
17,BAL,PIT,-0.9355538864034841
17,HOU,JAX,2.9721675756598427
17,LAC,LAR,-4.99611811031308
17,LVR,SF,5.7629151618301035
17,SEA,NYJ,-0.7888256105597918
17,ATL,ARI,-5.287333164867495
17,WAS,CLE,-1.0783928579679054
17,GB,MIN,-2.970218079300303
17,DET,CHI,-4.481198768858342
17,TB,CAR,-0.2519655060801893
17,NYG,IND,-4.4999633623355635
17,LVR,KC,8.470366262786365
17,JAX,TEN,-7.187194254556192
17,MIA,NYJ,-2.9206002653152106
17,PIT,CLE,-0.4200550387412367
17,DEN,LAC,-1.705185134180254
17,IND,HOU,-0.28874900466248726
17,CIN,BAL,-7.951052222669293
17,PHI,NYG,-13.892157115657886
17,BUF,NE,-7.534041685691649
17,WAS,DAL,8.21507547462876
17,CHI,MIN,8.7770214925475
17,NO,CAR,-0.9157232213966875
17,ATL,TB,-2.510176799523153
17,SF,ARI,-16.042979524696474
17,SEA,LAR,-3.7928493012642086
17,GB,DET,-4.5152853406012845
18,JAX,LAC,0.8819261514699243
18,SF,SEA,-10.587854927859885
18,CIN,BAL,-8.681246637118225
18,MIN,NYG,-2.5027985161435917
18,BUF,MIA,-12.66349335817801
18,TB,DAL,3.84642752379874
19,KC,JAX,-9.663131177253304
19,PHI,NYG,-6.526735316489837
19,SF,DAL,-3.2209354544246884
19,BUF,CIN,-5.403396843812426
20,KC,CIN,-1.356754826084692
20,PHI,SF,-2.509431981874469
21,KC,PHI,1.513547641336758
21,PHI,KC,-0.4502785105822546
